image_file,category_id,category_name
01900.jpg,1900,보령부스파정 5mg
02483.jpg,2483,뮤테란캡슐 100mg
03351.jpg,3351,일양하이트린정 2mg
03483.jpg,3483,기넥신에프정(은행엽엑스)(수출용)
03544.jpg,3544,무코스타정(레바미피드)(비매품)
03743.jpg,3743,알드린정
03832.jpg,3832,뉴로메드정(옥시라세탐)
04543.jpg,4543,에어탈정(아세클로페낙)
12081.jpg,12081,리렉스펜정 300mg/PTP
12247.jpg,12247,아빌리파이정 10mg
12778.jpg,12778,다보타민큐정 10mg/병
13395.jpg,13395,써스펜8시간이알서방정 650mg
13900.jpg,13900,에빅사정(메만틴염산염)(비매품)
16232.jpg,16232,리피토정 20mg
16262.jpg,16262,크레스토정 20mg
16548.png,16548,가바토파정 100mg
16551.jpg,16551,동아가바펜틴정 800mg
16688.jpg,16688,오마코연질캡슐(오메가-3-산에틸에스테르90)
18147.jpg,18147,리리카캡슐 150mg
18357.jpg,18357,종근당글리아티린연질캡슐(콜린알포세레이트)
19232.jpg,19232,콜리네이트연질캡슐 400mg
19552.jpg,19552,트루비타정 60mg/병
19607.jpg,19607,스토가정 10mg
19861.jpg,19861,노바스크정 5mg
20014.jpg,20014,마도파정
20238.jpg,20238,플라빅스정 75mg
20877.jpg,20877,엑스포지정 5/160mg
21325.jpg,21325,아토르바정 10mg
21771.jpg,21771,라비에트정 20mg
22074.jpg,22074,리피로우정 20mg
22347.png,22347,자누비아정 50mg
22362.png,22362,맥시부펜이알정 300mg
24850.png,24850,놀텍정 10mg
25367.webp,25367,자누메트정 50/850mg
25438.png,25438,큐시드정 31.5mg/PTP
25469.jpg,25469,아모잘탄정 5/100mg
27733.jpg,27733,트윈스타정 40/5mg
27777.jpg,27777,카나브정 60mg
27926.jpg,27926,울트라셋이알서방정
27993.jpg,27993,졸로푸트정 100mg
28763.jpg,28763,트라젠타정(리나글립틴)
29345.png,29345,비모보정 500/20mg
29451.jpg,29451,레일라정
29667.jpg,29667,리바로정 4mg
30308.jpg,30308,트라젠타듀오정 2.5/850mg
31863.png,31863,아질렉트정(라사길린메실산염)
31885.jpg,31885,자누메트엑스알서방정 100/1000mg
32310.jpg,32310,글리아타민연질캡슐
33009.jpg,33009,신바로정
33208.png,33208,에스원엠프정 20mg
33880.jpg,33880,글리틴정(콜린알포세레이트)
34597.jpg,34597,제미메트서방정 50/1000mg
35206.jpg,35206,아토젯정 10/40mg
36637.jpg,36637,로수젯정10/5밀리그램
38162.jpg,38162,로수바미브정 10/20mg
41768.jpg,41768,카발린캡슐 25mg
